Timestamp,Total_Confirmed_Cases,Total_Deaths,Real Estate,High,Low
2020-01-22,557,17,KIM,20.56,20.31
2020-01-23,655,18,KIM,20.48,20.24
2020-01-24,941,26,KIM,20.51,20.28
2020-01-25,1433,42,KIM,,
2020-01-26,2118,56,KIM,,
2020-01-27,2927,82,KIM,20.41,20.09
2020-01-28,5578,131,KIM,20.3,20.08
2020-01-29,6167,133,KIM,20.31,20.06
2020-01-30,8235,171,KIM,19.99,19.02
2020-01-31,9927,213,KIM,19.35,18.91
2020-02-01,12038,259,KIM,,
2020-02-02,16787,362,KIM,,
2020-02-03,19887,426,KIM,19.5,18.99
2020-02-04,23898,492,KIM,19.63,19.18
2020-02-05,27643,564,KIM,19.825,19.4
2020-02-06,30803,634,KIM,19.9,19.61
2020-02-07,34396,719,KIM,19.81,19.54
2020-02-08,37130,806,KIM,,
2020-02-09,40160,906,KIM,,
2020-02-10,42769,1013,KIM,19.84,19.53
2020-02-11,44811,1113,KIM,19.8,19.05
2020-02-12,45229,1118,KIM,19.1,18.56
2020-02-13,60382,1371,KIM,19.09,18.69
2020-02-14,66909,1523,KIM,19.32,18.86
2020-02-15,69052,1666,KIM,,
2020-02-16,71235,1770,KIM,,
2020-02-17,73270,1868,KIM,,
2020-02-18,75152,2008,KIM,19.29,18.95
2020-02-19,75652,2123,KIM,19.13,18.51
2020-02-20,76212,2248,KIM,18.97,18.46
2020-02-21,76841,2252,KIM,19.17,18.85
2020-02-22,78602,2459,KIM,,
2020-02-23,78982,2470,KIM,,
2020-02-24,79546,2630,KIM,19.09,18.83
2020-02-25,80399,2710,KIM,19.07,18.52
2020-02-26,81376,2771,KIM,18.69,18.27
2020-02-27,82736,2814,KIM,18.45,17.54
2020-02-28,84122,2873,KIM,17.52,16.79
2020-02-29,86013,2942,KIM,,
2020-03-01,88394,2996,KIM,,
2020-03-02,90377,3085,KIM,17.87,16.99
2020-03-03,92971,3160,KIM,18.24,17.58
2020-03-04,95279,3255,KIM,18.39,17.92
2020-03-05,98090,3349,KIM,18.13,17.7
2020-03-06,102003,3460,KIM,17.45,16.92
2020-03-07,106098,3564,KIM,,
2020-03-08,110047,3803,KIM,,
2020-03-09,114219,3993,KIM,16.52,15.56
2020-03-10,119041,4267,KIM,16.22,15.32
2020-03-11,126702,4611,KIM,15.8,14.82
2020-03-12,132492,4917,KIM,13.9,10.0
2020-03-13,146876,5414,KIM,13.61,12.47
2020-03-14,157950,5834,KIM,,
2020-03-15,169219,6475,KIM,,
2020-03-16,184027,7153,KIM,12.41,10.57
2020-03-17,199970,7967,KIM,11.07,10.0
2020-03-18,219535,8874,KIM,10.25,9.3
2020-03-19,246584,9985,KIM,10.9,9.01
2020-03-20,277359,11470,KIM,11.32,10.07
2020-03-21,309350,13192,KIM,,
2020-03-22,344205,14877,KIM,,
2020-03-23,387040,16826,KIM,10.63,9.12
2020-03-24,428219,19116,KIM,10.56,9.75
2020-03-25,479220,21926,KIM,12.07,10.06
2020-03-26,542097,24962,KIM,11.79,10.6
2020-03-27,607138,28450,KIM,10.88,10.29
2020-03-28,674418,32180,KIM,,
2020-03-29,733655,35699,KIM,,
2020-03-30,798949,39780,KIM,10.47,9.56
2020-03-31,875794,44528,KIM,10.11,9.27
2020-04-01,958586,50527,KIM,9.0,8.25
2020-04-02,1041649,56414,KIM,8.46,7.45
2020-04-03,1125200,62574,KIM,8.14,7.52
2020-04-04,1183589,68490,KIM,,
2020-04-05,1256181,73676,KIM,,
2020-04-06,1329324,79614,KIM,8.84,8.14
2020-04-07,1399153,87875,KIM,10.26,9.13
2020-04-08,1482508,94681,KIM,9.69,9.05
2020-04-09,1569527,102464,KIM,11.24,10.18
2020-04-10,1655062,109842,KIM,,
2020-04-11,1729373,116015,KIM,,
2020-04-12,1849067,121873,KIM,,
2020-04-13,1919799,127843,KIM,10.84,10.12
2020-04-14,2003766,134812,KIM,11.1,10.55
2020-04-15,2080914,143278,KIM,10.15,9.58
2020-04-16,2176465,150537,KIM,9.61,8.41
2020-04-17,2264462,158930,KIM,9.55,8.79
2020-04-18,2341702,165082,KIM,,
2020-04-19,2418307,170314,KIM,,
2020-04-20,2494325,176188,KIM,8.89,8.33
2020-04-21,2570074,183463,KIM,8.54,8.03
2020-04-22,2651321,190319,KIM,8.69,8.2
2020-04-23,2735570,197152,KIM,8.88,8.34
2020-04-24,2819666,203920,KIM,8.97,8.38
2020-04-25,2901924,209547,KIM,,
2020-04-26,2973512,213526,KIM,,
2020-04-27,3043704,218271,KIM,9.32,8.56
2020-04-28,3119244,224852,KIM,10.38,9.81
2020-04-29,3196354,231572,KIM,11.27,10.65
2020-04-30,3279849,237415,KIM,11.04,10.44
2020-05-01,3368225,242562,KIM,10.68,10.25
2020-05-02,3447425,248058,KIM,,
2020-05-03,3523798,251567,KIM,,
2020-05-04,3601487,255778,KIM,10.51,9.99
2020-05-05,3681989,261605,KIM,10.91,10.35
2020-05-06,3772016,268107,KIM,10.45,9.76
2020-05-07,3860723,273413,KIM,10.34,9.85
2020-05-08,3951001,278963,KIM,11.09,10.16
2020-05-09,4036224,283187,KIM,,
2020-05-10,4111200,286744,KIM,,
2020-05-11,4187831,290231,KIM,10.59,9.88
2020-05-12,4272321,295716,KIM,10.24,9.37
2020-05-13,4357301,300859,KIM,9.29,8.58
2020-05-14,4453532,306019,KIM,9.25,8.35
2020-05-15,4549264,311242,KIM,9.27,8.7
2020-05-16,4643703,315419,KIM,,
2020-05-17,4721725,318603,KIM,,
2020-05-18,4810892,322366,KIM,10.5,9.63
2020-05-19,4907667,327014,KIM,10.67,9.98
2020-05-20,5009545,331792,KIM,10.98,10.37
2020-05-21,5116189,336454,KIM,11.36,10.81
2020-05-22,5222610,341701,KIM,11.41,11.08
2020-05-23,5327415,345624,KIM,,
2020-05-24,5421626,348638,KIM,,
2020-05-25,5508342,349850,KIM,,
2020-05-26,5602309,354090,KIM,12.42,12.0
2020-05-27,5705071,359145,KIM,12.96,12.09
2020-05-28,5824354,363703,KIM,12.7,11.61
2020-05-29,5945256,368310,KIM,11.6,10.96
2020-05-30,6081771,372334,KIM,,
2020-05-31,6188179,375024,KIM,,
2020-06-01,6284173,378097,KIM,12.17,11.1
2020-06-02,6406138,382774,KIM,12.64,12.11
2020-06-03,6520376,388207,KIM,14.09,12.86
2020-06-04,6651330,393239,KIM,14.35,13.43
2020-06-05,6782553,397820,KIM,15.89,15.02
2020-06-06,6916290,401590,KIM,,
2020-06-07,7028653,404327,KIM,,
2020-06-08,7131150,408029,KIM,16.06,15.54
2020-06-09,7256208,412803,KIM,15.24,14.43
2020-06-10,7391313,417843,KIM,14.81,13.84
2020-06-11,7529332,422483,KIM,13.54,12.42
2020-06-12,7658096,426692,KIM,13.86,12.99
2020-06-13,7793385,430806,KIM,,
2020-06-14,7925669,434203,KIM,,
2020-06-15,8045327,437617,KIM,13.8,12.51
2020-06-16,8187411,444327,KIM,14.69,13.81
2020-06-17,8331151,449473,KIM,14.16,13.32
2020-06-18,8472210,454384,KIM,13.41,12.9
2020-06-19,8652123,460449,KIM,13.66,12.7
2020-06-20,8809570,464561,KIM,,
2020-06-21,8937270,468572,KIM,,
2020-06-22,9076626,472135,KIM,13.12,12.49
2020-06-23,9243423,477352,KIM,13.54,12.95
2020-06-24,9415999,482538,KIM,12.88,12.19
2020-06-25,9594378,487223,KIM,12.91,12.44
2020-06-26,9785963,491968,KIM,12.92,12.44
2020-06-27,9964089,496430,KIM,,
2020-06-28,10127955,499597,KIM,,
2020-06-29,10283298,503273,KIM,12.92,12.38
2020-06-30,10457836,508162,KIM,13.15,12.65
2020-07-01,10675433,513108,KIM,13.4,12.89
2020-07-02,10885376,518186,KIM,13.46,12.73
2020-07-03,11086757,523110,KIM,,
2020-07-04,11280564,527504,KIM,,
2020-07-05,11464568,530992,KIM,,
2020-07-06,11628530,534837,KIM,13.4,12.78
2020-07-07,11839880,540805,KIM,12.67,12.14
2020-07-08,12054030,546096,KIM,12.22,11.77
2020-07-09,12280848,551495,KIM,12.17,11.66
2020-07-10,12513506,556783,KIM,12.12,11.74
2020-07-11,12729970,561600,KIM,,
2020-07-12,12922256,565587,KIM,,
2020-07-13,13113693,569497,KIM,12.3,11.65
2020-07-14,13335857,575095,KIM,11.77,11.43
2020-07-15,13567312,580538,KIM,12.07,11.66
2020-07-16,13818613,586309,KIM,12.0,11.74
2020-07-17,14061343,592977,KIM,11.88,11.45
2020-07-18,14297523,598586,KIM,,
2020-07-19,14510952,602652,KIM,,
2020-07-20,14718060,606862,KIM,11.7,11.21
2020-07-21,14951708,613034,KIM,11.52,11.14
2020-07-22,15231573,619979,KIM,11.418,10.99
2020-07-23,15514415,629883,KIM,11.3565,11.02
2020-07-24,15795467,635906,KIM,11.26,10.74
2020-07-25,16049505,641457,KIM,,
2020-07-26,16262613,645172,KIM,,
2020-07-27,16489030,650349,KIM,10.77,10.35
2020-07-28,16741807,656625,KIM,11.24,10.53
2020-07-29,17033495,663245,KIM,11.45,10.825
2020-07-30,17313556,669290,KIM,11.28,10.82
2020-07-31,17604278,675456,KIM,11.2318,10.84
2020-08-01,17852606,680912,KIM,,
2020-08-02,18083600,685230,KIM,,
2020-08-03,18290067,689914,KIM,11.18,10.88
2020-08-04,18547980,696500,KIM,11.605,11.12
2020-08-05,18824546,703509,KIM,11.77,11.22
2020-08-06,19109725,709994,KIM,11.61,11.24
2020-08-07,19391936,716275,KIM,11.94,11.18
2020-08-08,19650446,721685,KIM,,
2020-08-09,19875123,726294,KIM,,
2020-08-10,20101148,731599,KIM,12.26,11.905
2020-08-11,20358672,737798,KIM,12.885,12.43
2020-08-12,20635253,744370,KIM,12.66,12.19
2020-08-13,20924432,750579,KIM,12.47,11.97
2020-08-14,21228162,760721,KIM,12.205,11.88
2020-08-15,21475851,766081,KIM,,
2020-08-16,21690318,770337,KIM,,
2020-08-17,21898028,774516,KIM,12.08,11.83
2020-08-18,22156248,781369,KIM,12.0,11.52
2020-08-19,22435826,788057,KIM,11.8,11.4
2020-08-20,22708128,794119,KIM,11.75,11.23
2020-08-21,22969210,799549,KIM,11.61,11.32
2020-08-22,23233461,805113,KIM,,
2020-08-23,23439639,809018,KIM,,
2020-08-24,23664985,813525,KIM,11.865,11.35
2020-08-25,23908742,819801,KIM,12.03,11.59
2020-08-26,24192659,826045,KIM,11.9,11.505
2020-08-27,24476359,831924,KIM,11.985,11.63
2020-08-28,24760091,837434,KIM,12.09,11.615
2020-08-29,25023829,842755,KIM,,
2020-08-30,25244809,846811,KIM,,
2020-08-31,25507787,850988,KIM,12.07,11.855
2020-09-01,25772515,857403,KIM,12.36,11.68
2020-09-02,26055945,863493,KIM,12.37,12.0
2020-09-03,26337239,869172,KIM,12.73,12.2901
2020-09-04,26651277,875033,KIM,12.755,12.335
2020-09-05,26921162,879993,KIM,,
2020-09-06,27151757,883812,KIM,,
2020-09-07,27369540,893186,KIM,,
2020-09-08,27611781,898102,KIM,12.6,12.21
2020-09-09,27896300,904197,KIM,12.29,11.98
2020-09-10,28196223,909986,KIM,12.32,12.05
2020-09-11,28517464,915835,KIM,12.06,11.54
2020-09-12,28804057,920737,KIM,,
2020-09-13,29046691,924442,KIM,,
2020-09-14,29310392,928888,KIM,12.415,11.85
2020-09-15,29595774,935314,KIM,13.18,12.36
2020-09-16,29900126,941082,KIM,13.18,12.8
2020-09-17,30215065,946555,KIM,13.03,12.745
2020-09-18,30540848,952235,KIM,12.805,12.19
2020-09-19,30832930,957504,KIM,,
2020-09-20,31084929,961246,KIM,,
2020-09-21,31360957,965349,KIM,11.9,11.36
2020-09-22,31645271,971318,KIM,11.815,11.34
2020-09-23,31921062,976927,KIM,11.555,10.78
2020-09-24,32274050,983591,KIM,10.995,10.59
2020-09-25,32604821,989478,KIM,11.265,10.76
2020-09-26,32893137,994831,KIM,,
2020-09-27,33144843,998519,KIM,,
2020-09-28,33399591,1002494,KIM,11.75,11.405
2020-09-29,33682028,1008423,KIM,11.48,10.96
2020-09-30,34008138,1014865,KIM,11.6,11.1
2020-10-01,34326374,1023573,KIM,11.65,11.165
2020-10-02,34624004,1028504,KIM,11.92,11.2106
2020-10-03,34956166,1033865,KIM,,
2020-10-04,35217590,1037706,KIM,,
2020-10-05,35518587,1044653,KIM,12.1,11.655
2020-10-06,35844897,1050432,KIM,12.32,11.865
2020-10-07,36195772,1056261,KIM,12.1,11.68
2020-10-08,36557008,1062543,KIM,12.02,11.78
2020-10-09,36917789,1068692,KIM,12.13,11.6
2020-10-10,37274759,1073570,KIM,,
2020-10-11,37561727,1077600,KIM,,
2020-10-12,37853374,1081584,KIM,11.685,11.44
2020-10-13,38172631,1086868,KIM,11.57,11.015
2020-10-14,38554820,1092934,KIM,11.195,10.955
2020-10-15,38961691,1099059,KIM,11.18,10.82
2020-10-16,39373359,1105239,KIM,11.13,10.8
2020-10-17,39745936,1110843,KIM,,
2020-10-18,40062466,1114382,KIM,,
2020-10-19,40449479,1119216,KIM,11.29,10.79
2020-10-20,40838493,1125771,KIM,11.245,11.0
2020-10-21,41283273,1132430,KIM,11.115,10.88
2020-10-22,41755903,1138340,KIM,11.51,11.0
2020-10-23,42252474,1145304,KIM,11.75,11.32
2020-10-24,42709233,1151121,KIM,,
2020-10-25,43069599,1155329,KIM,,
2020-10-26,43556089,1160846,KIM,11.39,10.955
2020-10-27,44025897,1168215,KIM,11.19,10.575
2020-10-28,44537381,1175378,KIM,10.51,10.19
2020-10-29,45087882,1182461,KIM,10.52,10.035
2020-10-30,45658489,1190067,KIM,10.5,10.145
2020-10-31,46135032,1196643,KIM,,
2020-11-01,46597718,1201651,KIM,,
2020-11-02,47160439,1207756,KIM,10.4978,10.22
2020-11-03,47713798,1217101,KIM,11.11,10.67
2020-11-04,48224961,1227358,KIM,10.97,10.51
2020-11-05,48821827,1235365,KIM,11.04,10.56
2020-11-06,49466428,1245019,KIM,10.83,10.17
2020-11-07,50063072,1252615,KIM,,
2020-11-08,50546871,1258489,KIM,,
2020-11-09,51048104,1265712,KIM,13.96,11.72
2020-11-10,51607037,1275705,KIM,14.41,13.52
2020-11-11,52255204,1286156,KIM,14.16,13.235
2020-11-12,52905000,1295921,KIM,14.025,13.425
2020-11-13,53556847,1305509,KIM,14.37,13.75
2020-11-14,54151573,1314590,KIM,,
2020-11-15,54625261,1321012,KIM,,
2020-11-16,55159431,1328966,KIM,15.47,14.66
2020-11-17,55770003,1340035,KIM,15.21,14.59
2020-11-18,56396925,1351466,KIM,15.45,14.54
2020-11-19,57050102,1362485,KIM,15.0,14.29
2020-11-20,57718479,1374363,KIM,15.05,14.725
2020-11-21,58305723,1383331,KIM,,
2020-11-22,58793713,1390525,KIM,,
2020-11-23,59318419,1399047,KIM,15.9,15.21
2020-11-24,59908426,1411707,KIM,16.26,15.39
2020-11-25,60543865,1423834,KIM,15.455,15.0143
2020-11-26,61125989,1434723,KIM,,
2020-11-27,61813227,1446110,KIM,15.44,14.99
2020-11-28,62398810,1455390,KIM,,
2020-11-29,62887073,1462550,KIM,,
2020-11-30,63395077,1471430,KIM,15.06,14.41
2020-12-01,64006923,1484115,KIM,15.025,14.62
2020-12-02,64657540,1496707,KIM,15.19,14.58
2020-12-03,65350863,1509276,KIM,15.405,15.025
2020-12-04,66033955,1521775,KIM,15.7,15.28
2020-12-05,66675580,1532055,KIM,,
2020-12-06,67214372,1539486,KIM,,
2020-12-07,67733794,1548207,KIM,15.5,15.01
2020-12-08,68376697,1560493,KIM,15.1,14.7
2020-12-09,69045713,1573207,KIM,15.03,14.73
2020-12-10,70542873,1585899,KIM,15.0,14.71
2020-12-11,71245705,1598924,KIM,14.785,14.565
2020-12-12,71879858,1609464,KIM,,
2020-12-13,72410059,1616921,KIM,,
2020-12-14,72933933,1626096,KIM,15.175,14.42
2020-12-15,73570426,1640030,KIM,15.27,14.51
2020-12-16,74303100,1653743,KIM,15.325,14.77
2020-12-17,75041733,1667155,KIM,15.08,14.74
2020-12-18,75761114,1679916,KIM,15.05,14.505
2020-12-19,76372594,1690683,KIM,,
2020-12-20,76905598,1698592,KIM,,
2020-12-21,77454227,1708256,KIM,14.49,14.03
2020-12-22,78103380,1722562,KIM,14.6,14.21
2020-12-23,78797459,1736362,KIM,14.72,14.36
2020-12-24,79464365,1747994,KIM,14.65,14.27
2020-12-25,79929494,1756567,KIM,,
2020-12-26,80441968,1763959,KIM,,
2020-12-27,80879838,1771360,KIM,,
2020-12-28,81375961,1781113,KIM,14.8,14.46
2020-12-29,82038435,1796274,KIM,14.99,14.43
2020-12-30,82798666,1811532,KIM,14.9,14.49
2020-12-31,83521859,1824666,KIM,15.05,14.55
2021-01-01,84054370,1834327,KIM,,
2021-01-02,84679917,1842750,KIM,,
2021-01-03,85212884,1850081,KIM,,
2021-01-04,85766126,1860229,KIM,15.14,14.295
2021-01-05,86504791,1875537,KIM,14.62,14.275
2021-01-06,87286422,1890582,KIM,15.32,14.575
2021-01-07,88166327,1905492,KIM,15.31,15.05
2021-01-08,88966439,1920633,KIM,15.49,15.06
2021-01-09,89729075,1933418,KIM,,
2021-01-10,90318122,1941752,KIM,,
2021-01-11,90936928,1952060,KIM,15.58,15.16
2021-01-12,91641834,1969154,KIM,15.57,15.14
2021-01-13,92389297,1985847,KIM,15.93,15.52
2021-01-14,93144039,2001193,KIM,16.47,15.91
2021-01-15,93909129,2016293,KIM,16.55,16.0
2021-01-16,94547911,2029556,KIM,,
2021-01-17,95076127,2038180,KIM,,
2021-01-18,95591185,2047572,KIM,,
2021-01-19,96198228,2064142,KIM,16.61,16.215
2021-01-20,96890121,2082033,KIM,17.075,16.48
2021-01-21,97546178,2098788,KIM,16.74,16.24
2021-01-22,98204479,2114777,KIM,16.715,16.095
2021-01-23,98772015,2128050,KIM,,
2021-01-24,99217695,2137002,KIM,,
2021-01-25,99714128,2147753,KIM,17.31,16.47
2021-01-26,100269237,2165073,KIM,17.365,16.98
2021-01-27,100866518,2181728,KIM,17.505,16.87
2021-01-28,101480537,2198750,KIM,17.985,17.27
2021-01-29,102070241,2213663,KIM,17.42,16.38
2021-01-30,102585112,2227221,KIM,,
2021-01-31,102967345,2235185,KIM,,
2021-02-01,103413233,2245371,KIM,16.61,15.91
2021-02-02,103870440,2260233,KIM,16.41,16.125
2021-02-03,104392192,2275922,KIM,16.37,15.97
2021-02-04,104858367,2288447,KIM,16.9,16.31
2021-02-05,105392905,2304940,KIM,17.0,16.695
2021-02-06,105764933,2315024,KIM,,
2021-02-07,106162758,2322930,KIM,,
2021-02-08,106478448,2331239,KIM,17.1,16.66
2021-02-09,106905813,2346764,KIM,17.19,16.98
2021-02-10,107340958,2360169,KIM,17.885,17.29
2021-02-11,107781878,2373607,KIM,18.1,17.59
2021-02-12,108210949,2386055,KIM,18.22,17.815
2021-02-13,108583902,2395838,KIM,,
2021-02-14,108877486,2402155,KIM,,
2021-02-15,109160854,2409024,KIM,,
2021-02-16,109511448,2419911,KIM,18.16,17.525
2021-02-17,109906540,2431231,KIM,17.85,17.51
2021-02-18,110309750,2442541,KIM,18.015,17.69
2021-02-19,110722085,2453585,KIM,18.16,17.61
2021-02-20,111092247,2462064,KIM,,
2021-02-21,111406337,2467895,KIM,,
2021-02-22,111694776,2474798,KIM,18.265,17.66
2021-02-23,112082814,2485958,KIM,18.675,18.1989
2021-02-24,112527289,2497933,KIM,19.22,18.35
2021-02-25,112974358,2507990,KIM,19.44,18.44
2021-02-26,113417277,2518263,KIM,18.72,18.11
2021-02-27,113806009,2526376,KIM,,
2021-02-28,114109186,2531755,KIM,,
2021-03-01,114415400,2538961,KIM,19.08,18.53
2021-03-02,114725863,2549372,KIM,18.47,18.0
2021-03-03,115166644,2560422,KIM,19.025,18.16
2021-03-04,115619554,2570176,KIM,19.19,18.15
2021-03-05,116066168,2580166,KIM,19.07,18.16
2021-03-06,116502825,2587977,KIM,,
